AverageSkipPercent,SongName,Artist,TotalSkips,Minutes,Seconds,SpotID,Length
0.75119275,"Line in the Sand",ZOX,1,3,24,74LJ50wYcscuJrU8rq5h2A,271013
0.74318822,"Golden Touch - Full Length",Razorlight,1,2,33,06aMDKw1zNra92edkj2QrY,205306
0.70810767,"Pokemon Theme",Pokémon,1,2,19,6xG2ZGudUgtV235xvDlSEt,196826
0.67984780,"Be Stiff - 2010 Remastered Version",DEVO,1,1,51,6Owohd92bClr5WbzhbL8IM,163466
0.58406835,"Big In Japan - Original",Alphaville,1,2,47,3BZGi1yUqQyCNC868AqUGG,286160
0.57929224,"American Girl","The Infamous Stringdusters",1,2,48,12M8aLNyrTqGtNDFU3BRJq,289196
0.55544183,Elstree,"The Buggles",1,2,31,5nvLGQApZ2ly9Ngn0BKbeW,271600
0.54641825,"Heat Of The Moment",Asia,1,2,4,2ZBalNGwjqdKJd29O76wBV,227626
0.53668552,"Crazy On You",Heart,1,2,37,5zH710lFSLtkHbMkslLDjR,293440
0.52733003,"Lady - Hear Me Tonight",Modjo,1,2,42,49X0LAl6faAusYq02PRAY6,307153
0.50612043,DARE,Gorillaz,1,2,4,4Hff1IjRbLGeLgFgxvHflk,244999
0.49589622,"American Pie","Don McLean",1,4,16,2QgWuCtBpNIpl5trmKCxRf,515866
0.47352424,"Insane in the Brain","Cypress Hill",1,1,39,1oTHteQbmJw15rPxPVXUTv,208266
0.44600922,Closer,"Project Pablo",1,3,6,6n44rF2nl6rF0q5DYgezS1,417738
0.42965546,"Love Her Madly","The Doors",1,1,25,3MFFDRC4wTN9JNGtzXsZlN,198466
0.42705698,Borderline,Khymera,1,1,43,13Ka4uC9LeNYWGVUGjT97Z,241106
0.41977337,"Lights - Single Version","Ellie Goulding",1,1,29,7gUpO6td4OOnu0Lf9vhcIV,211800
0.38570595,"My Own Worst Enemy",Lit,3,1,5,33iv3wnGMrrDugd7GBso1z,169026
0.37899659,CORE,"Toby Fox",1,1,3,1aQFbtPnLCzCoThtRsP625,166392
0.37899296,Daylight,"Matt and Kim",1,1,5,57i3M29DWoo7RDk0Tf0LZG,171333
0.36204916,"Goodbye Summer, Hello Winter",FantomenK,1,2,4,2wrVCncqREVcvSndCA7pgV,342111
0.34054726,"Stand - Remastered",R.E.M.,2,1,6,22UhQSbYimuCnvI0Y07gFX,192960
0.27358388,"Regret - 2015 Remastered Version","New Order",1,1,8,1UVll7jjUlqSGxCZ6uXVaD,248973
0.26478455,Savior,"Rise Against",2,1,4,3asFGFY3uLjMDmML1p0tYm,242280
0.25877002,"I Feel So","Box Car Racer",1,1,10,1Igy3egsujfV4WphlW0B7K,270866
0.24845161,"Shia LaBeouf Live","Rob Cantor",1,0,39,3VMzQ4rh7FtfSuyjHIcuZR,155000
0.24431112,"Breakfast In America - Remastered",Supertramp,1,0,39,4a5pNRjwmzYQuEY1E7O6pj,159346
0.24212924,Saeed,"Infected Mushroom",1,1,43,2NRFvNVeJ7GVQ46WW8lUbx,423720
0.23062207,"Get Me Right","Dashboard Confessional",1,0,45,2weZVbAaNENsANFiIlPiAc,195493
0.22762384,Burns,"George FitzGerald",1,0,58,2DeV4SryfbbEM1YgedzKP4,253998
0.21953400,"Sexualizer (feat. Flash Arnold)",Perturbator,1,1,6,4mbYAXxvtRHjLZT92MTT8k,298710
0.21478133,"Direct Hit","Art Brut",2,0,46,5fivVWJ1AYPhy3D1ODVVXS,212146
0.19475330,Devour,Shinedown,1,0,45,76nyEXAod57YdJJEas0bnm,229973
0.18651949,"Counting Stars",OneRepublic,1,0,48,6sy3LkhNFjJWlaeSMNwQ62,257839
0.18386968,"Patent Pending",Heavens,1,0,41,5ZHAibuytZnk2qRd2xGDz5,225600
0.17648061,"Endlich Ein Grund Zur Panik","Wir Sind Helden",1,0,39,4lgmihFRFZK3ZSBmKEow1q,223067
0.15692478,Nightmare,Halifax,1,0,37,1Q0E9tkGhvU7Lo69R4Jshv,232946
